"","listing_id","availability_30","price_30","revenue_30"
"485",3292591,18,34.5833333333333,415
"486",3296395,12,63.8333333333333,1149
"487",3308418,14,30,480
"488",3311224,29,46,46
"489",3325399,0,20,600
"490",3359092,30,NA,0
"491",3385437,30,NA,0
"492",3430007,10,41.25,825
"493",3439475,15,106.733333333333,1601
"494",3448147,0,25,750
"495",3528936,30,NA,0
"496",3566255,30,NA,0
"497",3583382,30,NA,0
"498",3588867,30,NA,0
"499",3598588,30,NA,0
"500",3640741,26,69.5,278
"501",3641544,26,96,384
"502",3657248,30,NA,0
"503",3710077,27,59,177
"504",3723822,30,NA,0
"505",3727048,0,115,3450
"506",3728141,30,NA,0
"507",3739160,0,15,450
"508",3739162,29,15,15
"509",3782320,22,86.25,690
"510",3785363,15,101.066666666667,1516
"511",3787295,27,43,129
"512",3832039,30,NA,0
"513",3839160,24,65,390
"514",3945770,30,NA,0
"515",3956112,22,79,632
"516",3965282,29,45,45
"517",3976987,29,65,65
"518",3977056,28,650,1300
"519",3984883,30,NA,0
"520",4005833,30,NA,0
"521",4018679,0,42.8666666666667,1286
"522",4020732,0,60,1800
"523",4027808,0,280.666666666667,8420
"524",4031002,28,99,198
"525",4034796,30,NA,0
"526",4049113,30,NA,0
"527",4050039,30,NA,0
"528",4065242,30,NA,0
"529",4074933,1,99.4827586206897,2885
"530",4082346,30,NA,0
"531",4084462,30,NA,0
"532",4101376,27,20,60
"533",4101440,29,40,40
"534",4107558,0,54,1620
"535",4109605,0,51.3333333333333,1540
"536",4118994,0,60,1800
"537",4134733,30,NA,0
"538",4135515,28,19,38
"539",4140852,0,21,630
"540",4170971,30,NA,0
"541",4181460,12,35.1666666666667,633
"542",4185984,0,70,2100
"543",4198324,30,NA,0
"544",4212449,29,65,65
"545",4229739,30,NA,0
"546",4238718,26,63,252
"547",4238814,29,50,50
"548",4260204,30,NA,0
"549",4261146,30,NA,0
"550",4261195,0,148,4440
"551",4267963,0,93.3333333333333,2800
"552",4282345,30,NA,0
"553",4293362,17,51.5384615384615,670
"554",4307036,30,NA,0
"555",4307509,28,9,18
"556",4336724,29,95,95
"557",4336919,29,95,95
"558",4351098,0,28.5333333333333,856
"559",4361851,25,79,395
"560",4364091,0,79,2370
"561",4364756,30,NA,0
"562",4384062,0,89,2670
"563",4386673,27,42,126
"564",4390520,30,NA,0
"565",4403024,29,75,75
"566",4411594,29,33,33
"567",4426388,30,NA,0
"568",4448101,28,62,124
"569",4451242,29,73,73
"570",4453447,29,51,51
"571",4463101,9,16.7619047619048,352
"572",4466931,29,45,45
"573",4496592,0,45,1350
"574",4497047,30,NA,0
"575",4497952,25,68,340
"576",4498859,30,NA,0
"577",4509738,5,54.8,1370
"578",4513831,30,NA,0
"579",4541878,30,NA,0
"580",4547759,30,NA,0
"581",4563863,27,47,141
"582",4569549,29,69,69
"583",4571897,16,139.285714285714,1950
"584",4578116,27,79,237
"585",4590191,29,80,80
"586",4609707,0,155.666666666667,4670
"587",4612991,22,30,240
"588",4626048,30,NA,0
"589",4627777,30,NA,0
"590",4652296,24,69,414
"591",4664958,30,NA,0
"592",4716236,29,30,30
"593",4722409,30,NA,0
"594",4723679,30,NA,0
"595",4727529,24,80,480
"596",4758723,0,13,390
"597",4783315,30,NA,0
"598",4783609,2,64.6428571428571,1810
"599",4791168,30,NA,0
"600",4794692,0,62.6666666666667,1880
"601",4798188,0,49,1470
"602",4798225,0,49,1470
"603",4798245,0,49,1470
"604",4801074,24,85.6666666666667,514
"605",4801188,30,NA,0
"606",4814366,30,NA,0
"607",4828516,30,NA,0
"608",4829889,30,NA,0
"609",4879329,30,NA,0
"610",4880044,25,48,240
"611",4902106,29,42,42
"612",4940781,0,115,3450
"613",4943974,30,NA,0
"614",4944420,29,70,70
"615",4964091,29,78,78
"616",4965374,0,50.8333333333333,1525
"617",4976079,8,44.6363636363636,982
"618",4990173,18,72.4166666666667,869
"619",4991785,22,59,472
"620",4993747,30,NA,0
"621",4993932,7,68.8695652173913,1584
"622",4994094,18,49,588
"623",4994508,6,75.8333333333333,1820
"624",5002242,20,64,640
"625",5045300,28,40,80
"626",5056899,0,53,1590
"627",5057721,13,84,1428
"628",5065514,0,20,600
"629",5071208,30,NA,0
"630",5079242,28,95,190
"631",5113212,0,17,510
"632",5156052,29,85,85
"633",5157602,1,42.6896551724138,1238
"634",5188954,28,560,1120
"635",5189514,2,67.8571428571429,1900
"636",5191898,0,22,660
"637",5213071,28,69,138
"638",5229640,9,41.0476190476191,862
"639",5233739,0,56.4666666666667,1694
"640",5237109,0,22,660
"641",5255114,28,60,120
"642",5258008,29,30,30
"643",5260861,22,54,432
"644",5275169,30,NA,0
"645",5292930,30,NA,0
"646",5341664,30,NA,0
"647",5342065,29,160,160
"648",5342324,2,33.25,931
"649",5352505,14,125.625,2010
"650",5369087,0,63,1890
"651",5389175,0,180,5400
"652",5392153,29,60,60
"653",5399089,30,NA,0
"654",5405166,30,NA,0
"655",5407370,26,55,220
"656",5412398,23,20,140
"657",5416151,30,NA,0
"658",5433129,29,70,70
"659",5442925,30,NA,0
"660",5472576,29,73,73
"661",5473368,29,39,39
"662",5495038,0,30,900
"663",5497586,0,1499,44970
"664",5507392,24,39,234
"665",5509944,26,60,240
"666",5535105,0,69,2070
"667",5564403,30,NA,0
"668",5572855,29,50,50
"669",5577747,28,45,90
"670",5583905,0,150.666666666667,4520
"671",5587846,30,NA,0
"672",5590062,28,40,80
"673",5607853,29,65,65
"674",5626032,18,49.1666666666667,590
"675",5636074,30,NA,0
"676",5636225,24,44.1666666666667,265
"677",5664853,0,20,600
"678",5668351,30,NA,0
"679",5671736,0,75,2250
"680",5675966,30,NA,0
"681",5688855,30,NA,0
"682",5689424,30,NA,0
"683",5689575,30,NA,0
"684",5690058,29,47,47
"685",5699290,26,125,500
"686",5703813,9,55,1155
"687",5707569,30,NA,0
"688",5727525,30,NA,0
"689",5732628,29,98,98
"690",5744459,2,59.4642857142857,1665
"691",5747577,28,72.5,145
"692",5754217,30,NA,0
"693",5754609,30,NA,0
"694",5782306,27,43,129
"695",5788433,30,NA,0
"696",5789339,30,NA,0
"697",5791564,27,45,135
"698",5804456,29,44,44
"699",5808218,30,NA,0
"700",5821139,24,135,810
"701",5822698,28,30,60
