"","listing_id","availability_30","price_30","revenue_30"
"4543",36504514,6,84.5833333333333,2030
"4544",36508102,30,NA,0
"4545",36511498,9,55.7619047619048,1171
"4546",36516275,0,50,1500
"4547",36517541,0,74.6666666666667,2240
"4548",36517921,13,150.588235294118,2560
"4549",36542236,0,200,6000
"4550",36546879,30,NA,0
"4551",36548988,0,90,2700
"4552",36550104,23,28,196
"4553",36553183,24,150,900
"4554",36553500,26,499,1996
"4555",36553741,26,529,2116
"4556",36553816,26,524,2096
"4557",36554304,29,99,99
"4558",36554810,29,499,499
"4559",36555956,0,97.9,2937
"4560",36557923,29,499,499
"4561",36558338,23,238.571428571429,1670
"4562",36558636,14,206,3296
"4563",36558899,30,NA,0
"4564",36559291,28,235.5,471
"4565",36559398,26,194.75,779
"4566",36563812,29,105,105
"4567",36564055,28,174.5,349
"4568",36564105,26,199.25,797
"4569",36587530,18,40,480
"4570",36597256,29,45,45
"4571",36598316,30,NA,0
"4572",36598449,19,48.2727272727273,531
"4573",36622278,0,85,2550
"4574",36622911,29,100,100
"4575",36626405,18,589,7068
"4576",36626420,29,75,75
"4577",36631567,15,45.2666666666667,679
"4578",36638217,0,125,3750
"4579",36646941,17,80,1040
"4580",36654046,0,16,480
"4581",36667000,12,207.777777777778,3740
"4582",36680597,0,34.3333333333333,1030
"4583",36715484,0,30,900
"4584",36716767,26,57,228
"4585",36724555,0,40,1200
"4586",36725461,28,155,310
"4587",36739471,29,50,50
"4588",36741458,30,NA,0
"4589",36746471,23,190,1330
"4590",36748542,0,18,540
"4591",36756076,29,100,100
"4592",36757266,30,NA,0
"4593",36757444,28,155,310
"4594",36758204,24,126.666666666667,760
"4595",36763030,12,47.2222222222222,850
"4596",36767829,29,100,100
"4597",36769292,0,94.6666666666667,2840
"4598",36778791,29,42,42
"4599",36785071,30,NA,0
"4600",36785755,29,150,150
"4601",36787626,3,45.2592592592593,1222
"4602",36792164,0,163.333333333333,4900
"4603",36797033,4,65.1538461538462,1694
"4604",36799933,30,NA,0
"4605",36821428,7,52.3913043478261,1205
"4606",36840869,0,49.5333333333333,1486
"4607",36842036,30,NA,0
"4608",36855526,30,NA,0
"4609",36860758,28,35,70
"4610",36861376,14,77.5,1240
"4611",36866791,0,39.9333333333333,1198
"4612",36869073,30,NA,0
"4613",36872690,21,313,2817
"4614",36878743,10,41,820
"4615",36907493,0,26,780
"4616",36926251,29,120,120
"4617",36943476,27,56.6666666666667,170
"4618",36959492,28,145,290
"4619",36966653,0,232.366666666667,6971
"4620",36967035,30,NA,0
"4621",36971068,12,64.1666666666667,1155
